cliente_id,nome_cliente,tipo_cliente,data_cadastro
1,Cliente_1,Agência,2025-11-04
2,Cliente_2,Anunciante,2025-03-24
3,Cliente_3,Agência,2025-07-10
4,Cliente_4,Agência,2024-01-07
5,Cliente_5,Agência,2024-04-04
6,Cliente_6,Anunciante,2025-10-28
7,Cliente_7,Agência,2025-08-26
8,Cliente_8,Agência,2025-04-05
9,Cliente_9,Agência,2024-05-04
10,Cliente_10,Agência,2023-11-27
11,Cliente_11,Anunciante,2025-04-18
12,Cliente_12,Anunciante,2024-04-05
13,Cliente_13,Anunciante,2023-08-24
14,Cliente_14,Agência,2023-10-14
15,Cliente_15,Agência,2023-12-16
16,Cliente_16,Anunciante,2024-12-16
17,Cliente_17,Anunciante,2025-06-23
18,Cliente_18,Agência,2023-10-10
19,Cliente_19,Anunciante,2025-08-17
20,Cliente_20,Agência,2024-11-05
21,Cliente_21,Agência,2024-11-27
22,Cliente_22,Anunciante,2024-03-21
23,Cliente_23,Anunciante,2023-08-26
24,Cliente_24,Agência,2023-11-13
25,Cliente_25,Anunciante,2024-05-29
26,Cliente_26,Agência,2024-11-07
27,Cliente_27,Agência,2024-05-13
28,Cliente_28,Anunciante,2023-08-03
29,Cliente_29,Anunciante,2024-04-17
30,Cliente_30,Agência,2023-12-09
31,Cliente_31,Agência,2025-10-14
32,Cliente_32,Agência,2023-09-30
33,Cliente_33,Anunciante,2025-09-09
34,Cliente_34,Agência,2025-08-18
35,Cliente_35,Anunciante,2025-02-18
36,Cliente_36,Anunciante,2024-02-18
37,Cliente_37,Anunciante,2025-06-16
38,Cliente_38,Anunciante,2024-12-01
39,Cliente_39,Agência,2024-01-13
40,Cliente_40,Anunciante,2023-12-12
41,Cliente_41,Agência,2024-03-16
42,Cliente_42,Agência,2024-06-01
43,Cliente_43,Agência,2025-06-15
44,Cliente_44,Anunciante,2024-11-06
45,Cliente_45,Anunciante,2024-02-13
46,Cliente_46,Agência,2023-12-29
47,Cliente_47,Anunciante,2023-07-20
48,Cliente_48,Agência,2025-04-09
49,Cliente_49,Agência,2023-08-28
50,Cliente_50,Anunciante,2024-10-15
51,Cliente_51,Anunciante,2025-09-23
52,Cliente_52,Agência,2024-04-28
53,Cliente_53,Anunciante,2025-04-26
54,Cliente_54,Anunciante,2024-10-20
55,Cliente_55,Anunciante,2025-07-06
56,Cliente_56,Anunciante,2025-07-10
57,Cliente_57,Agência,2023-10-29
58,Cliente_58,Anunciante,2023-10-27
59,Cliente_59,Anunciante,2024-04-11
60,Cliente_60,Anunciante,2024-11-24
61,Cliente_61,Agência,2025-07-11
62,Cliente_62,Anunciante,2025-08-28
