contato_id,cliente_id,data_contato,canal,tempo_resposta_horas
1,485,2025-11-28,Telefone,65
2,478,2025-10-15,Reunião,55
3,428,2025-08-27,WhatsApp,33
4,234,2025-08-09,Telefone,51
5,98,2025-07-28,Telefone,10
6,142,2025-09-13,Reunião,66
7,137,2025-12-28,Reunião,94
8,153,2025-07-31,WhatsApp,21
9,229,2025-08-13,WhatsApp,46
10,171,2025-08-09,WhatsApp,60
11,478,2025-10-07,Telefone,91
12,123,2025-08-04,WhatsApp,31
13,439,2025-09-14,Email,42
14,382,2025-08-29,WhatsApp,51
15,340,2025-07-15,Telefone,65
16,494,2025-12-19,Telefone,66
17,495,2025-07-30,Reunião,14
18,448,2025-09-07,Email,69
19,467,2025-09-03,Email,94
20,74,2025-09-15,Telefone,11
21,241,2025-10-22,Reunião,81
22,355,2025-09-18,Email,44
23,437,2025-07-09,WhatsApp,42
24,321,2025-08-26,Email,81
25,36,2025-10-29,Reunião,31
26,383,2025-12-05,WhatsApp,14
27,390,2025-07-19,Email,58
28,86,2025-07-04,Reunião,5
29,24,2025-10-06,Email,39
30,184,2025-09-24,WhatsApp,20
31,126,2025-08-15,WhatsApp,74
32,350,2025-11-12,Telefone,24
33,41,2025-07-25,WhatsApp,81
34,350,2025-10-28,WhatsApp,76
35,74,2025-10-30,WhatsApp,83
36,131,2025-09-02,Reunião,87
37,5,2025-08-31,Reunião,88
38,280,2025-11-18,Email,58
39,484,2025-10-01,Reunião,83
40,493,2025-09-11,Reunião,60
41,433,2025-10-12,Telefone,51
42,437,2025-08-27,Email,32
43,196,2025-08-04,Reunião,75
44,152,2025-07-02,Reunião,4
45,425,2025-07-13,WhatsApp,37
46,5,2025-08-06,Email,79
47,382,2025-08-23,Reunião,31
48,311,2025-09-29,Telefone,83
49,98,2025-07-23,Reunião,88
50,387,2025-07-13,Telefone,82
51,50,2025-07-21,Email,41
52,404,2025-09-07,Email,76
53,187,2025-11-25,Email,39
54,168,2025-09-13,Telefone,27
55,68,2025-08-12,Reunião,69
56,257,2025-10-20,Telefone,34
57,468,2025-08-27,Reunião,45
58,412,2025-11-29,WhatsApp,11
59,73,2025-11-01,WhatsApp,73
60,188,2025-12-05,WhatsApp,3
61,136,2025-08-13,Email,60
62,189,2025-07-09,Reunião,76
63,196,2025-07-18,Reunião,15
64,346,2025-10-30,WhatsApp,5
65,318,2025-08-07,Reunião,80
66,114,2025-07-16,Email,83
67,422,2025-09-01,Reunião,85
68,210,2025-11-29,Telefone,7
69,485,2025-12-19,Reunião,65
70,60,2025-12-04,Telefone,70
71,70,2025-09-20,WhatsApp,49
72,344,2025-07-03,WhatsApp,77
73,381,2025-11-19,WhatsApp,85
74,51,2025-08-25,WhatsApp,37
75,17,2025-07-05,Reunião,29
76,228,2025-09-06,Telefone,48
77,51,2025-07-06,Reunião,71
78,462,2025-07-16,Reunião,9
79,204,2025-10-19,Telefone,17
80,486,2025-09-03,Email,86
81,109,2025-07-17,Email,8
82,403,2025-10-04,Telefone,18
83,403,2025-08-06,Telefone,10
84,425,2025-08-09,Telefone,77
85,111,2025-10-30,Reunião,20
86,404,2025-07-29,Email,37
87,440,2025-11-21,Telefone,71
88,129,2025-11-14,Email,86
89,444,2025-12-22,Telefone,3
90,184,2025-10-29,Reunião,4
91,90,2025-10-22,Email,18
92,380,2025-09-12,Email,10
93,244,2025-09-05,Reunião,67
94,304,2025-12-01,WhatsApp,66
95,114,2025-07-24,Email,95
96,402,2025-07-13,Reunião,60
97,330,2025-12-21,Email,63
98,434,2025-09-17,WhatsApp,89
99,56,2025-08-25,WhatsApp,11
100,461,2025-12-08,Reunião,79
101,76,2025-12-12,Telefone,37
102,320,2025-07-19,Reunião,50
103,306,2025-08-15,Reunião,60
104,259,2025-07-27,WhatsApp,14
105,407,2025-07-02,Email,85
106,334,2025-08-09,Telefone,57
107,232,2025-10-31,WhatsApp,45
108,424,2025-09-03,WhatsApp,55
109,374,2025-12-04,Reunião,56
110,161,2025-07-11,Reunião,49
111,489,2025-11-19,WhatsApp,10
112,47,2025-12-07,Email,57
113,50,2025-09-24,Telefone,73
114,31,2025-07-31,Reunião,87
115,63,2025-09-14,Reunião,87
116,482,2025-09-11,Email,38
117,308,2025-10-10,Reunião,15
118,296,2025-08-21,Telefone,21
119,337,2025-08-27,Telefone,15
120,180,2025-08-08,Reunião,16
121,391,2025-10-18,Telefone,56
122,433,2025-08-07,Email,79
123,476,2025-07-13,Reunião,5
124,93,2025-10-20,Reunião,45
125,180,2025-12-27,Telefone,20
126,290,2025-07-13,WhatsApp,10
127,73,2025-07-19,Email,13
128,383,2025-08-15,Telefone,50
129,215,2025-09-03,Reunião,22
130,190,2025-10-10,Reunião,74
131,306,2025-12-07,Email,21
132,81,2025-07-23,Email,88
133,42,2025-10-20,WhatsApp,86
134,218,2025-08-26,WhatsApp,55
135,140,2025-11-03,Email,46
136,221,2025-11-30,Reunião,88
137,348,2025-07-30,WhatsApp,69
138,342,2025-10-11,Email,30
139,203,2025-07-28,Email,2
140,105,2025-10-12,Telefone,19
141,392,2025-10-24,Reunião,43
142,62,2025-12-27,WhatsApp,57
143,90,2025-11-25,WhatsApp,70
144,361,2025-10-31,Reunião,11
145,204,2025-12-18,WhatsApp,4
146,236,2025-12-09,Reunião,75
147,220,2025-08-04,WhatsApp,92
148,328,2025-09-13,Reunião,16
149,208,2025-12-23,Reunião,23
150,411,2025-07-23,WhatsApp,90
151,471,2025-09-27,Email,57
152,433,2025-12-01,Telefone,57
153,302,2025-09-17,Email,52
154,446,2025-10-10,Reunião,30
155,171,2025-11-15,Email,67
156,325,2025-11-29,Telefone,46
157,180,2025-07-16,Telefone,32
158,53,2025-11-21,Reunião,27
159,89,2025-07-27,Telefone,85
160,39,2025-11-13,WhatsApp,61
161,387,2025-08-06,WhatsApp,89
162,474,2025-08-06,Reunião,82
163,162,2025-11-20,WhatsApp,10
164,241,2025-09-06,Reunião,37
165,303,2025-12-14,Reunião,66
166,38,2025-10-10,WhatsApp,59
167,20,2025-12-14,Reunião,38
168,40,2025-07-16,Email,80
169,305,2025-08-21,WhatsApp,61
170,298,2025-08-09,Email,59
171,466,2025-08-04,Telefone,43
172,310,2025-08-29,Telefone,9
173,231,2025-12-02,Reunião,93
174,44,2025-08-21,Telefone,7
175,127,2025-09-07,WhatsApp,69
176,268,2025-07-25,Telefone,48
177,191,2025-10-17,WhatsApp,54
178,397,2025-10-03,Email,82
179,332,2025-10-04,Email,44
180,49,2025-08-08,WhatsApp,38
181,130,2025-07-13,Telefone,44
182,42,2025-08-01,Telefone,46
183,159,2025-07-14,WhatsApp,18
184,305,2025-12-07,Reunião,73
185,193,2025-07-17,Reunião,18
186,344,2025-07-02,Email,84
187,344,2025-09-11,Reunião,4
188,186,2025-10-10,Telefone,29
189,175,2025-08-26,Telefone,30
190,71,2025-11-19,Email,39
191,433,2025-12-03,Email,86
192,173,2025-07-23,Telefone,78
193,193,2025-11-19,Telefone,25
194,426,2025-07-04,Telefone,94
195,225,2025-12-17,WhatsApp,48
196,347,2025-10-29,WhatsApp,80
197,146,2025-09-05,Telefone,70
198,123,2025-10-10,WhatsApp,26
199,189,2025-07-08,WhatsApp,61
200,394,2025-10-17,WhatsApp,66
201,271,2025-09-12,Telefone,27
202,411,2025-07-27,Telefone,34
203,27,2025-07-17,WhatsApp,49
204,284,2025-12-02,Email,38
205,43,2025-11-17,Reunião,59
206,464,2025-08-19,Telefone,57
207,47,2025-11-02,WhatsApp,46
208,477,2025-12-22,WhatsApp,8
209,203,2025-08-22,Reunião,32
210,198,2025-12-08,Reunião,30
211,15,2025-10-08,Email,93
212,333,2025-10-04,Telefone,19
213,20,2025-10-16,WhatsApp,91
214,426,2025-11-23,WhatsApp,59
215,316,2025-12-27,Email,4
216,132,2025-11-03,Telefone,72
217,482,2025-07-26,WhatsApp,16
218,398,2025-10-16,Telefone,40
219,63,2025-12-16,Telefone,55
220,328,2025-07-22,WhatsApp,10
221,57,2025-08-23,Email,82
222,264,2025-08-03,Telefone,93
223,74,2025-10-15,WhatsApp,2
224,315,2025-09-29,Telefone,75
225,214,2025-11-11,Email,69
