proposta_id,cliente_id,valor_proposta,status_proposta,data_envio
1,49,32202,Perdida,2025-10-19
2,163,27663,Perdida,2025-08-08
3,397,25524,Perdida,2025-12-16
4,202,24558,Perdida,2025-09-03
5,253,12956,Em negociação,2025-07-23
6,53,6919,Ganha,2025-12-26
7,72,11890,Em negociação,2025-07-05
8,371,33552,Ganha,2025-12-06
9,98,29174,Em negociação,2025-08-13
10,3,8440,Ganha,2025-12-17
11,57,8145,Em negociação,2025-12-09
12,136,26582,Perdida,2025-09-22
13,139,16163,Em negociação,2025-08-01
14,236,12857,Ganha,2025-11-21
15,386,32085,Perdida,2025-07-10
16,63,39194,Perdida,2025-08-03
17,245,37119,Em negociação,2025-10-07
18,396,36634,Ganha,2025-10-22
19,393,24414,Perdida,2025-09-29
20,286,20884,Perdida,2025-11-06
21,356,10112,Ganha,2025-08-24
22,31,18924,Ganha,2025-11-03
23,240,30235,Ganha,2025-12-02
24,175,18674,Em negociação,2025-08-15
25,264,25536,Perdida,2025-10-10
26,363,34754,Perdida,2025-08-21
27,55,13523,Ganha,2025-09-26
28,198,34650,Em negociação,2025-08-19
29,104,31227,Ganha,2025-10-18
30,217,15760,Perdida,2025-08-03
31,332,11688,Ganha,2025-12-01
32,382,12222,Ganha,2025-09-02
33,96,22482,Ganha,2025-07-12
34,272,34664,Perdida,2025-11-28
35,475,10509,Perdida,2025-11-04
36,78,31013,Perdida,2025-08-20
37,171,8483,Perdida,2025-09-25
38,51,8220,Perdida,2025-09-11
39,100,24267,Ganha,2025-11-13
40,305,23083,Perdida,2025-08-24
41,266,33414,Ganha,2025-12-16
42,331,21314,Em negociação,2025-11-02
43,59,8482,Em negociação,2025-08-03
44,137,20647,Ganha,2025-12-03
45,142,19841,Em negociação,2025-07-02
46,367,31513,Perdida,2025-12-03
47,113,22581,Perdida,2025-11-15
48,403,18341,Ganha,2025-10-16
49,362,23872,Perdida,2025-12-04
50,95,37980,Em negociação,2025-07-22
51,245,25009,Em negociação,2025-07-05
52,123,16156,Ganha,2025-12-11
53,86,17277,Ganha,2025-09-03
54,73,5834,Perdida,2025-09-10
55,172,6364,Ganha,2025-10-22
56,452,10044,Ganha,2025-12-26
57,305,28078,Em negociação,2025-08-01
58,1,37001,Em negociação,2025-08-30
59,57,7960,Em negociação,2025-08-05
60,349,24048,Em negociação,2025-08-16
61,258,15964,Perdida,2025-12-04
62,52,24962,Em negociação,2025-10-04
63,232,37156,Perdida,2025-08-11
64,132,36882,Ganha,2025-09-02
65,7,28109,Ganha,2025-10-04
66,457,38936,Perdida,2025-07-29
67,248,12389,Ganha,2025-08-18
68,373,6358,Ganha,2025-09-14
69,439,19434,Perdida,2025-11-22
70,183,37625,Ganha,2025-08-03
71,380,33227,Perdida,2025-12-06
72,100,29758,Perdida,2025-10-19
73,450,34443,Em negociação,2025-08-16
74,90,22387,Em negociação,2025-09-30
75,455,26705,Perdida,2025-09-13
76,484,23104,Ganha,2025-12-18
77,297,39083,Perdida,2025-07-25
78,63,33407,Perdida,2025-08-05
79,496,27740,Ganha,2025-12-26
80,256,14642,Perdida,2025-11-20
81,268,23991,Perdida,2025-07-11
82,84,24899,Perdida,2025-12-12
83,410,24315,Ganha,2025-12-18
84,112,23547,Em negociação,2025-11-27
85,28,37005,Ganha,2025-09-09
86,181,5042,Ganha,2025-11-23
87,180,23564,Perdida,2025-08-22
88,341,15160,Em negociação,2025-10-20
89,74,17892,Perdida,2025-12-08
90,149,19343,Ganha,2025-09-29
91,128,30312,Perdida,2025-12-03
92,458,22121,Em negociação,2025-07-29
93,160,16357,Perdida,2025-07-08
94,449,26134,Em negociação,2025-11-23
95,350,18074,Ganha,2025-09-13
96,284,18075,Ganha,2025-12-07
97,153,35222,Perdida,2025-09-23
98,401,33632,Ganha,2025-08-16
99,227,25529,Perdida,2025-07-06
100,365,28432,Perdida,2025-09-10
101,239,32558,Em negociação,2025-09-01
102,15,6731,Em negociação,2025-09-12
103,46,14213,Perdida,2025-10-12
104,403,20902,Perdida,2025-09-24
105,66,24224,Ganha,2025-09-19
106,65,31407,Perdida,2025-09-01
107,414,38948,Perdida,2025-12-15
108,44,8584,Ganha,2025-07-15
109,55,26855,Perdida,2025-10-15
110,290,36553,Perdida,2025-12-13
111,63,38477,Perdida,2025-12-15
112,360,18439,Perdida,2025-08-07
113,380,37460,Ganha,2025-07-09
114,328,15143,Ganha,2025-10-10
115,369,5422,Em negociação,2025-07-22
116,353,18153,Ganha,2025-12-28
117,79,12932,Perdida,2025-10-26
118,105,11789,Perdida,2025-08-21
119,228,30605,Ganha,2025-11-27
120,154,31513,Perdida,2025-11-11
121,420,20396,Em negociação,2025-08-11
122,134,33778,Em negociação,2025-07-24
123,64,33334,Ganha,2025-12-23
124,95,14285,Em negociação,2025-07-13
125,124,16191,Perdida,2025-07-02
126,280,18130,Perdida,2025-10-15
127,149,11554,Em negociação,2025-08-24
128,189,23034,Perdida,2025-07-03
129,410,12034,Perdida,2025-09-11
130,76,6833,Ganha,2025-11-28
131,289,30521,Ganha,2025-10-12
132,18,34129,Ganha,2025-09-29
133,493,14129,Perdida,2025-09-02
134,142,5597,Em negociação,2025-09-28
135,257,37978,Ganha,2025-08-16
136,200,38622,Ganha,2025-07-14
137,78,28059,Perdida,2025-08-06
138,174,35112,Perdida,2025-11-23
139,143,24852,Em negociação,2025-12-11
140,470,36702,Perdida,2025-08-30
141,311,16821,Perdida,2025-08-21
142,398,39434,Ganha,2025-07-03
143,166,27812,Perdida,2025-09-16
144,35,7944,Ganha,2025-11-18
145,119,11326,Perdida,2025-08-23
146,479,36222,Ganha,2025-10-30
147,396,20506,Ganha,2025-11-14
148,373,30171,Perdida,2025-09-12
149,473,9218,Ganha,2025-10-25
150,59,7452,Em negociação,2025-12-10
151,227,29531,Perdida,2025-12-21
152,473,16407,Ganha,2025-07-03
153,231,29748,Ganha,2025-07-18
154,294,18089,Ganha,2025-08-25
155,225,23749,Ganha,2025-11-17
156,223,39637,Em negociação,2025-11-09
157,45,6588,Perdida,2025-07-10
158,50,18339,Ganha,2025-11-23
159,458,5343,Perdida,2025-09-15
160,291,9716,Ganha,2025-07-07
161,374,39613,Perdida,2025-11-05
162,293,36046,Perdida,2025-09-28
163,317,14035,Em negociação,2025-09-07
164,219,29649,Em negociação,2025-08-05
165,41,13335,Perdida,2025-10-13
166,52,12728,Perdida,2025-12-15
167,308,26687,Ganha,2025-10-15
168,473,21474,Perdida,2025-09-28
169,35,15345,Em negociação,2025-12-09
